Mycobacterium tuberculosis H37Rv	Synechococcus elongatus PCC 7942	Porphyromonas gingivalis ATCC 33277	Bacteroides fragilis 638R	Bacteroides thetaiotaomicron VPI-5482	Sphingomonas wittichii RW1	Caulobacter crescentus	Brevundimonas subvibrioides ATCC 15264	Agrobacterium fabrum str. C58	Rhodopseudomonas palustris CGA009	Francisella novicida U112	Shewanella oneidensis MR-1	Vibrio cholerae N16961	Haemophilus influenzae Rd KW20	Salmonella enterica serovar Typhimurium SL1344	Salmonella enterica serovar Typhi Ty2	Salmonella enterica serovar Typhi	Escherichia coli MG1655	Escherichia coli ST131 strain EC958	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa UCBPP-PA14	Acinetobacter baumannii ATCC 17978	Acinetobacter baylyi ADP1	Burkholderia pseudomallei K96243	Burkholderia thailandensis E264	Helicobacter pylori 26695	Mycoplasma genitalium G37	Mycoplasma pulmonis UAB CTIP	Bacillus subtilis 168	Staphylococcus aureus N315	Staphylococcus aureus NCTC 8325	Streptococcus sanguinis	Streptococcus pyogenes NZ131	Streptococcus pyogenes MGAS5448	Streptococcus agalactiae A909
infC	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1
ispD	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1
map	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
metG	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0
metK	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mraY	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1
murA	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0
murD	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1
murE	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1
murI	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1
mviN	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
nusA	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0
nusB	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
obg	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1
pgk	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1
ppa	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0
ppnK	0	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1
prs	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pth	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1
rho	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
ribA	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ribB	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ribD	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
ribE	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ribF	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1
ribH	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
rimM	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1
rplC	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1
rplD	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
rplJ	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1
rplS	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1
rplU	0	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1
rplW	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1
rpmA	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1
rpmB	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0
rpoH	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
rpsA	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1
rpsB	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0
rpsJ	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1
rpsR	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1
rpsS	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1
rpsU	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1
secA	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0
secY	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ssb	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1
suhB	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
tadA	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
trmD	1	1	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0
tsf	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1
tyrS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1
yidC	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	0
yqgF	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
dnaA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1
hemE	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
lpxD	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
lpxK	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
rpmC	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1
thyA	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1
yjgQ	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
accA	0	1	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1
accD	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1
cdsA	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
coaD	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1
era	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0
hemH	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
ispB	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
kdsB	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
kdtA	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
lolA	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
lpxB	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
lpxH	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
pgsA	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1
secE	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
COG0268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG3115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
accB	0	1	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1
accC	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1
coaA	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
coaBC	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0
coaE	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1
dnaC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dnaT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fabA	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fabD	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1
fabH	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1
folB	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1
folE	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1
ftsQ	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
glmS	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1
hemA	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
hemB	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
hemD	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hemG	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kdsA	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
lexA	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
lnt	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
lolB	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
lolE.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lptA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
lptB	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
lptD	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
lptE	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lpxA	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
lpxC	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
mrdA	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mrdB	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mreC	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
mreD	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mukB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mukE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mukF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
murF	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
nadD	1	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	1
nadE	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1
plsB	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
plsC	1	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1
priA	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0
psd	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
pssA	0	0	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
rnpA	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1
rplY	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
rpoC	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1
secD	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0
secF	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
topA	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0
ubiA	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
ubiB	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ubiD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ubiE	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0
yjeE	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1
yjgP	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
atpA	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1
folA	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1
iscS	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0
mnmA	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1
nrdA	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
purB	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0
rplA	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0
rpsF	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0
rpsI	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1
rpsO	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1
atpD	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1
